hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate
NHS Greater Glasgow & Clyde,2018,Both Sexes,15-24,162,109
NHS Highland,2018,Both Sexes,15-24,26,76.95
NHS Lanarkshire,2018,Both Sexes,15-24,106,139.79
NHS Lothian,2018,Both Sexes,15-24,133,118.92
NHS Orkney,2018,Both Sexes,15-24,1,45.75
NHS Tayside,2018,Both Sexes,15-24,40,78.46
Other,2018,Both Sexes,15-24,8,-
NHSScotland,2018,Both Sexes,15-24,737,113.97
NHS Ayrshire & Arran,2018,Both Sexes,25-34,88,221.29
NHS Borders,2018,Both Sexes,25-34,9,86.79
NHS Dumfries & Galloway,2018,Both Sexes,25-34,25,168.67
NHS Fife,2018,Both Sexes,25-34,80,186.07
NHS Forth Valley,2018,Both Sexes,25-34,41,113.59
NHS Grampian,2018,Both Sexes,25-34,64,75.29
NHS Greater Glasgow & Clyde,2018,Both Sexes,25-34,167,89.37
NHS Highland,2018,Both Sexes,25-34,30,88.73
NHS Lanarkshire,2018,Both Sexes,25-34,98,123.41
NHS Lothian,2018,Both Sexes,25-34,130,88.76
NHS Tayside,2018,Both Sexes,25-34,43,79.35
NHS Western Isles,2018,Both Sexes,25-34,2,81.14
Other,2018,Both Sexes,25-34,9,-
NHSScotland,2018,Both Sexes,25-34,786,106.6
NHS Ayrshire & Arran,2018,Both Sexes,35-44,68,167.46
NHS Borders,2018,Both Sexes,35-44,10,83.11
NHS Dumfries & Galloway,2018,Both Sexes,35-44,14,95.06
NHS Fife,2018,Both Sexes,35-44,76,173.55
NHS Forth Valley,2018,Both Sexes,35-44,40,105.99
NHS Grampian,2018,Both Sexes,35-44,40,52.33
NHS Greater Glasgow & Clyde,2018,Both Sexes,35-44,130,89.52
NHS Highland,2018,Both Sexes,35-44,34,94.26
NHS Lanarkshire,2018,Both Sexes,35-44,107,128.3
NHS Lothian,2018,Both Sexes,35-44,110,92.03
NHS Orkney,2018,Both Sexes,35-44,1,41.75
NHS Tayside,2018,Both Sexes,35-44,40,86.52
NHS Western Isles,2018,Both Sexes,35-44,7,230.11
Other,2018,Both Sexes,35-44,1,-
NHSScotland,2018,Both Sexes,35-44,678,102.1
NHS Ayrshire & Arran,2018,Both Sexes,45-54,82,146.08
NHS Borders,2018,Both Sexes,45-54,19,104.6
NHS Dumfries & Galloway,2018,Both Sexes,45-54,17,75.67
NHS Fife,2018,Both Sexes,45-54,82,149.66
NHS Forth Valley,2018,Both Sexes,45-54,31,65.22
NHS Grampian,2018,Both Sexes,45-54,49,58.25
NHS Greater Glasgow & Clyde,2018,Both Sexes,45-54,215,129.53
NHS Highland,2018,Both Sexes,45-54,55,113.17
NHS Lanarkshire,2018,Both Sexes,45-54,122,119.69
NHS Lothian,2018,Both Sexes,45-54,166,134.95
NHS Orkney,2018,Both Sexes,45-54,16,472.67
NHS Shetland,2018,Both Sexes,45-54,2,58.31
NHS Tayside,2018,Both Sexes,45-54,52,88.9
NHS Western Isles,2018,Both Sexes,45-54,1,24.47
Other,2018,Both Sexes,45-54,14,-
NHSScotland,2018,Both Sexes,45-54,923,116.52
NHS Ayrshire & Arran,2018,Both Sexes,55-64,71,133.55
NHS Borders,2018,Both Sexes,55-64,9,51.83
NHS Dumfries & Galloway,2018,Both Sexes,55-64,19,84.08
NHS Fife,2018,Both Sexes,55-64,195,392.89
NHS Forth Valley,2018,Both Sexes,55-64,24,60.33
NHS Grampian,2018,Both Sexes,55-64,37,49.89
NHS Greater Glasgow & Clyde,2018,Both Sexes,55-64,158,108.41
NHS Highland,2018,Both Sexes,55-64,48,101.09
NHS Lanarkshire,2018,Both Sexes,55-64,121,135.99
NHS Lothian,2018,Both Sexes,55-64,113,109.41
NHS Orkney,2018,Both Sexes,55-64,1,30.77
NHS Tayside,2018,Both Sexes,55-64,43,77.77
NHS Western Isles,2018,Both Sexes,55-64,7,173.83
Other,2018,Both Sexes,55-64,22,-
NHSScotland,2018,Both Sexes,55-64,868,122.62
NHS Ayrshire & Arran,2018,Both Sexes,65-74,54,116.93
NHS Borders,2018,Both Sexes,65-74,4,25.45
NHS Dumfries & Galloway,2018,Both Sexes,65-74,15,72.59
NHS Fife,2018,Both Sexes,65-74,68,159.99
NHS Forth Valley,2018,Both Sexes,65-74,19,58.26
NHS Grampian,2018,Both Sexes,65-74,34,58.05
NHS Greater Glasgow & Clyde,2018,Both Sexes,65-74,103,98.95
NHS Highland,2018,Both Sexes,65-74,35,84.48
NHS Lanarkshire,2018,Both Sexes,65-74,87,130.16
NHS Lothian,2018,Both Sexes,65-74,63,78.91
NHS Orkney,2018,Both Sexes,65-74,2,70.7
NHS Shetland,2018,Both Sexes,65-74,1,38.51
NHS Tayside,2018,Both Sexes,65-74,19,40.37
NHS Western Isles,2018,Both Sexes,65-74,4,109.11
Other,2018,Both Sexes,65-74,9,-
NHSScotland,2018,Both Sexes,65-74,517,91.57
NHS Ayrshire & Arran,2018,Both Sexes,65+,111,135.88
NHS Borders,2018,Both Sexes,65+,9,32.49
NHS Dumfries & Galloway,2018,Both Sexes,65+,26,69.5
NHS Fife,2018,Both Sexes,65+,97,130.04
NHS Forth Valley,2018,Both Sexes,65+,46,80.26
NHS Grampian,2018,Both Sexes,65+,74,71.05
NHS Greater Glasgow & Clyde,2018,Both Sexes,65+,219,114.11
NHS Highland,2018,Both Sexes,65+,68,93.31
NHS Lanarkshire,2018,Both Sexes,65+,164,139.56
NHS Lothian,2018,Both Sexes,65+,139,96.64
NHS Orkney,2018,Both Sexes,65+,4,78.85
NHS Shetland,2018,Both Sexes,65+,3,66.93
NHS Tayside,2018,Both Sexes,65+,39,44.69
NHS Western Isles,2018,Both Sexes,65+,17,251.63
Other,2018,Both Sexes,65+,12,-
NHSScotland,2018,Both Sexes,65+,1028,101.52
NHS Ayrshire & Arran,2018,Both Sexes,75-84,42,159.99
NHS Borders,2018,Both Sexes,75-84,4,45.46
NHS Dumfries & Galloway,2018,Both Sexes,75-84,9,73.05
NHS Fife,2018,Both Sexes,75-84,20,85.1
NHS Forth Valley,2018,Both Sexes,75-84,19,103.29
NHS Grampian,2018,Both Sexes,75-84,22,66.65
NHS Greater Glasgow & Clyde,2018,Both Sexes,75-84,81,127.83
NHS Highland,2018,Both Sexes,75-84,25,108.82
NHS Lanarkshire,2018,Both Sexes,75-84,60,157.51
NHS Lothian,2018,Both Sexes,75-84,53,115.92
NHS Orkney,2018,Both Sexes,75-84,1,59.59
NHS Shetland,2018,Both Sexes,75-84,2,141.74
NHS Tayside,2018,Both Sexes,75-84,15,52.78
NHS Western Isles,2018,Both Sexes,75-84,10,450.86
Other,2018,Both Sexes,75-84,3,-
NHSScotland,2018,Both Sexes,75-84,366,112.22
NHS Ayrshire & Arran,2018,Both Sexes,75+,57,160.54
NHS Borders,2018,Both Sexes,75+,5,41.72
NHS Dumfries & Galloway,2018,Both Sexes,75+,11,65.69
NHS Fife,2018,Both Sexes,75+,29,90.37
NHS Forth Valley,2018,Both Sexes,75+,27,109.28
NHS Grampian,2018,Both Sexes,75+,40,87.75
NHS Greater Glasgow & Clyde,2018,Both Sexes,75+,116,132.07
NHS Highland,2018,Both Sexes,75+,33,104.94
NHS Lanarkshire,2018,Both Sexes,75+,77,151.96
NHS Lothian,2018,Both Sexes,75+,76,118.77
NHS Orkney,2018,Both Sexes,75+,2,89.13
NHS Shetland,2018,Both Sexes,75+,2,106.1
NHS Tayside,2018,Both Sexes,75+,20,49.76
NHS Western Isles,2018,Both Sexes,75+,13,420.71
Other,2018,Both Sexes,75+,3,-
NHSScotland,2018,Both Sexes,75+,511,114.07
NHS Ayrshire & Arran,2018,Both Sexes,85+,15,162.09
NHS Borders,2018,Both Sexes,85+,1,31.39
NHS Dumfries & Galloway,2018,Both Sexes,85+,2,45.19
NHS Fife,2018,Both Sexes,85+,9,104.81
NHS Forth Valley,2018,Both Sexes,85+,8,126.72
NHS Grampian,2018,Both Sexes,85+,18,143.13
NHS Greater Glasgow & Clyde,2018,Both Sexes,85+,35,143.03
NHS Highland,2018,Both Sexes,85+,8,94.42
NHS Lanarkshire,2018,Both Sexes,85+,17,135.17
NHS Lothian,2018,Both Sexes,85+,23,125.9
NHS Orkney,2018,Both Sexes,85+,1,176.68
NHS Tayside,2018,Both Sexes,85+,5,42.47
NHS Western Isles,2018,Both Sexes,85+,3,344.04
NHSScotland,2018,Both Sexes,85+,145,119.03
NHS Ayrshire & Arran,2018,Both Sexes,All ages,659,177.91
NHS Borders,2018,Both Sexes,All ages,85,73.9
NHS Dumfries & Galloway,2018,Both Sexes,All ages,179,119.97
NHS Fife,2018,Both Sexes,All ages,724,194.93
NHS Forth Valley,2018,Both Sexes,All ages,280,91.63
NHS Grampian,2018,Both Sexes,All ages,403,68.73
NHS Greater Glasgow & Clyde,2018,Both Sexes,All ages,1305,111.62
NHS Highland,2018,Both Sexes,All ages,344,106.84
NHS Lanarkshire,2018,Both Sexes,All ages,992,150.73
NHS Lothian,2018,Both Sexes,All ages,1016,114.23
NHS Orkney,2018,Both Sexes,All ages,25,113.64
NHS Shetland,2018,Both Sexes,All ages,11,47.66
NHS Tayside,2018,Both Sexes,All ages,385,92.53
NHS Western Isles,2018,Both Sexes,All ages,42,155.84
Other,2018,Both Sexes,All ages,86,-
NHSScotland,2018,Both Sexes,All ages,6536,120.48
NHS Ayrshire & Arran,2018,Female,00-14,84,296.63
NHS Borders,2018,Female,00-14,5,56.81
NHS Dumfries & Galloway,2018,Female,00-14,27,249.77
NHS Fife,2018,Female,00-14,32,108.34
NHS Forth Valley,2018,Female,00-14,29,120.06
NHS Grampian,2018,Female,00-14,28,61
NHS Greater Glasgow & Clyde,2018,Female,00-14,109,120.87
NHS Highland,2018,Female,00-14,35,145.29
NHS Lanarkshire,2018,Female,00-14,111,204.64
NHS Lothian,2018,Female,00-14,95,137.77
NHS Shetland,2018,Female,00-14,2,105.26
NHS Tayside,2018,Female,00-14,42,135.56
NHS Western Isles,2018,Female,00-14,5,255.36
Other,2018,Female,00-14,7,-
NHSScotland,2018,Female,00-14,611,144.98
NHS Ayrshire & Arran,2018,Female,15-24,53,264.83
NHS Borders,2018,Female,15-24,9,158.09
NHS Dumfries & Galloway,2018,Female,15-24,7,96.38
NHS Fife,2018,Female,15-24,77,343.87
NHS Forth Valley,2018,Female,15-24,18,98.25
NHS Grampian,2018,Female,15-24,27,80.54
NHS Greater Glasgow & Clyde,2018,Female,15-24,122,165.33
NHS Highland,2018,Female,15-24,16,103.23
NHS Lanarkshire,2018,Female,15-24,82,221.98
NHS Lothian,2018,Female,15-24,84,146.68
NHS Tayside,2018,Female,15-24,24,95.52
Other,2018,Female,15-24,3,-
NHSScotland,2018,Female,15-24,522,163.51
NHS Ayrshire & Arran,2018,Female,25-34,61,295.76
NHS Borders,2018,Female,25-34,6,110.99
NHS Dumfries & Galloway,2018,Female,25-34,17,224.75
NHS Fife,2018,Female,25-34,64,288.43
NHS Forth Valley,2018,Female,25-34,31,165.9
NHS Grampian,2018,Female,25-34,58,140.53
NHS Greater Glasgow & Clyde,2018,Female,25-34,138,148.24
NHS Highland,2018,Female,25-34,26,155.78
NHS Lanarkshire,2018,Female,25-34,79,192.66
NHS Lothian,2018,Female,25-34,86,114.42
NHS Tayside,2018,Female,25-34,33,122.14
Other,2018,Female,25-34,5,-
NHSScotland,2018,Female,25-34,604,162.16
NHS Ayrshire & Arran,2018,Female,35-44,54,250.91
NHS Borders,2018,Female,35-44,10,158.83
NHS Dumfries & Galloway,2018,Female,35-44,12,154.08
NHS Fife,2018,Female,35-44,51,227.32
NHS Forth Valley,2018,Female,35-44,33,168.99
NHS Grampian,2018,Female,35-44,29,77.12
NHS Greater Glasgow & Clyde,2018,Female,35-44,103,139.74
NHS Highland,2018,Female,35-44,30,162.44
NHS Lanarkshire,2018,Female,35-44,78,181.96
NHS Lothian,2018,Female,35-44,75,124.73
NHS Orkney,2018,Female,35-44,1,79.43
NHS Tayside,2018,Female,35-44,31,130.19
NHS Western Isles,2018,Female,35-44,6,379.51
NHSScotland,2018,Female,35-44,513,151.6
NHS Ayrshire & Arran,2018,Female,45-54,56,187.81
NHS Borders,2018,Female,45-54,16,170.94
NHS Dumfries & Galloway,2018,Female,45-54,8,68.38
NHS Fife,2018,Female,45-54,64,226.41
NHS Forth Valley,2018,Female,45-54,22,90.59
NHS Grampian,2018,Female,45-54,33,77.41
NHS Greater Glasgow & Clyde,2018,Female,45-54,163,186.91
NHS Highland,2018,Female,45-54,43,169.92
NHS Lanarkshire,2018,Female,45-54,81,153.41
NHS Lothian,2018,Female,45-54,116,185.71
NHS Orkney,2018,Female,45-54,2,117.37
NHS Shetland,2018,Female,45-54,2,117.92
NHS Tayside,2018,Female,45-54,47,156.53
NHS Western Isles,2018,Female,45-54,1,49.55
Other,2018,Female,45-54,9,-
NHSScotland,2018,Female,45-54,663,161.99
NHS Ayrshire & Arran,2018,Female,55-64,56,202.78
NHS Borders,2018,Female,55-64,5,56.88
NHS Dumfries & Galloway,2018,Female,55-64,13,111.65
NHS Fife,2018,Female,55-64,103,405.16
NHS Forth Valley,2018,Female,55-64,20,98.22
NHS Grampian,2018,Female,55-64,26,69.91
NHS Greater Glasgow & Clyde,2018,Female,55-64,122,160.93
NHS Highland,2018,Female,55-64,31,128.41
NHS Lanarkshire,2018,Female,55-64,85,184.15
NHS Lothian,2018,Female,55-64,83,157.43
NHS Orkney,2018,Female,55-64,1,63.41
NHS Tayside,2018,Female,55-64,31,109.11
NHS Western Isles,2018,Female,55-64,4,203.98
Other,2018,Female,55-64,6,-
NHSScotland,2018,Female,55-64,586,161.28
NHS Ayrshire & Arran,2018,Female,65-74,26,107.79
NHS Borders,2018,Female,65-74,3,37.38
NHS Dumfries & Galloway,2018,Female,65-74,9,85.19
NHS Fife,2018,Female,65-74,57,256.44
NHS Forth Valley,2018,Female,65-74,15,88.44
NHS Grampian,2018,Female,65-74,24,79.94
NHS Greater Glasgow & Clyde,2018,Female,65-74,72,130.62
NHS Highland,2018,Female,65-74,24,113.05
NHS Lanarkshire,2018,Female,65-74,66,186.64
NHS Lothian,2018,Female,65-74,48,113.9
NHS Orkney,2018,Female,65-74,1,69.4
NHS Shetland,2018,Female,65-74,1,79.55
NHS Tayside,2018,Female,65-74,14,57.05
NHS Western Isles,2018,Female,65-74,2,107.7
Other,2018,Female,65-74,4,-
NHSScotland,2018,Female,65-74,366,124.12
NHS Ayrshire & Arran,2018,Female,65+,68,151.49
NHS Borders,2018,Female,65+,6,40.31
NHS Dumfries & Galloway,2018,Female,65+,19,94.97
NHS Fife,2018,Female,65+,79,193.36
NHS Forth Valley,2018,Female,65+,32,101.88
NHS Grampian,2018,Female,65+,51,90.09
NHS Greater Glasgow & Clyde,2018,Female,65+,161,147.31
NHS Highland,2018,Female,65+,48,121.56
NHS Lanarkshire,2018,Female,65+,121,183.76
NHS Lothian,2018,Female,65+,106,132.11
NHS Orkney,2018,Female,65+,2,74.79
NHS Shetland,2018,Female,65+,3,128.92
NHS Tayside,2018,Female,65+,30,62.31
NHS Western Isles,2018,Female,65+,14,379.61
Other,2018,Female,65+,7,-
NHSScotland,2018,Female,65+,747,133.31
NHS Ayrshire & Arran,2018,Female,75-84,30,203.14
NHS Borders,2018,Female,75-84,3,61.82
NHS Dumfries & Galloway,2018,Female,75-84,8,120.61
NHS Fife,2018,Female,75-84,13,99.46
NHS Forth Valley,2018,Female,75-84,12,115.81
NHS Grampian,2018,Female,75-84,13,70.6
NHS Greater Glasgow & Clyde,2018,Female,75-84,64,170.48
NHS Highland,2018,Female,75-84,18,140.69
NHS Lanarkshire,2018,Female,75-84,42,189.9
NHS Lothian,2018,Female,75-84,38,145.67
NHS Orkney,2018,Female,75-84,1,112.11
NHS Shetland,2018,Female,75-84,2,262.81
NHS Tayside,2018,Female,75-84,11,68.86
NHS Western Isles,2018,Female,75-84,10,803.86
Other,2018,Female,75-84,3,-
NHSScotland,2018,Female,75-84,268,144.47
NHS Ayrshire & Arran,2018,Female,75+,42,202.24
NHS Borders,2018,Female,75+,3,43.74
NHS Dumfries & Galloway,2018,Female,75+,10,105.91
NHS Fife,2018,Female,75+,22,118.09
NHS Forth Valley,2018,Female,75+,17,117.66
NHS Grampian,2018,Female,75+,27,101.56
NHS Greater Glasgow & Clyde,2018,Female,75+,89,164.3
NHS Highland,2018,Female,75+,24,131.44
NHS Lanarkshire,2018,Female,75+,55,180.43
NHS Lothian,2018,Female,75+,58,152.26
NHS Orkney,2018,Female,75+,1,81.1
NHS Shetland,2018,Female,75+,2,186.92
NHS Tayside,2018,Female,75+,16,67.78
NHS Western Isles,2018,Female,75+,12,655.38
Other,2018,Female,75+,3,-
NHSScotland,2018,Female,75+,381,143.52
NHS Ayrshire & Arran,2018,Female,85+,12,200.03
NHS Dumfries & Galloway,2018,Female,85+,2,71.2
NHS Fife,2018,Female,85+,9,161.87
NHS Forth Valley,2018,Female,85+,5,122.34
NHS Grampian,2018,Female,85+,14,171.32
NHS Greater Glasgow & Clyde,2018,Female,85+,25,150.34
NHS Highland,2018,Female,85+,6,109.79
NHS Lanarkshire,2018,Female,85+,13,155.41
NHS Lothian,2018,Female,85+,20,166.57
NHS Tayside,2018,Female,85+,5,65.52
NHS Western Isles,2018,Female,85+,2,340.72
NHSScotland,2018,Female,85+,113,141.31
NHS Ayrshire & Arran,2018,Female,All ages,432,224.07
NHS Borders,2018,Female,All ages,57,96.23
NHS Dumfries & Galloway,2018,Female,All ages,103,134.16
NHS Fife,2018,Female,All ages,470,245.95
NHS Forth Valley,2018,Female,All ages,185,118.03
NHS Grampian,2018,Female,All ages,252,85.5
NHS Greater Glasgow & Clyde,2018,Female,All ages,918,152.22
NHS Highland,2018,Female,All ages,229,139.9
NHS Lanarkshire,2018,Female,All ages,637,187.43
NHS Lothian,2018,Female,All ages,645,141.16
NHS Orkney,2018,Female,All ages,6,54.27
NHS Shetland,2018,Female,All ages,7,61.68
NHS Tayside,2018,Female,All ages,238,111.46
NHS Western Isles,2018,Female,All ages,30,219.94
Other,2018,Female,All ages,37,-
NHSScotland,2018,Female,All ages,4246,152.49
NHS Ayrshire & Arran,2018,Male,00-14,81,272.9
NHS Borders,2018,Male,00-14,14,154.85
NHS Dumfries & Galloway,2018,Male,00-14,43,382.36
NHS Fife,2018,Male,00-14,68,218.31
NHS Forth Valley,2018,Male,00-14,45,176.62
NHS Grampian,2018,Male,00-14,60,124.24
NHS Greater Glasgow & Clyde,2018,Male,00-14,145,153.32
NHS Highland,2018,Male,00-14,48,189.91
NHS Lanarkshire,2018,Male,00-14,163,286.78
NHS Lothian,2018,Male,00-14,130,179.22
NHS Orkney,2018,Male,00-14,2,116.75
NHS Shetland,2018,Male,00-14,4,191.75
NHS Tayside,2018,Male,00-14,86,263.32
NHS Western Isles,2018,Male,00-14,3,139.47
Other,2018,Male,00-14,12,-
NHSScotland,2018,Male,00-14,904,204.19
NHS Ayrshire & Arran,2018,Male,15-24,21,99.82
NHS Borders,2018,Male,15-24,1,17.09
NHS Dumfries & Galloway,2018,Male,15-24,1,12.72
NHS Fife,2018,Male,15-24,17,75.45
NHS Forth Valley,2018,Male,15-24,6,31.3
NHS Grampian,2018,Male,15-24,24,68.97
NHS Greater Glasgow & Clyde,2018,Male,15-24,40,53.45
NHS Highland,2018,Male,15-24,10,54.69
NHS Lanarkshire,2018,Male,15-24,24,61.72
NHS Lothian,2018,Male,15-24,49,89.79
NHS Orkney,2018,Male,15-24,1,85.4
NHS Tayside,2018,Male,15-24,16,61.88
Other,2018,Male,15-24,5,-
NHSScotland,2018,Male,15-24,215,65.67
NHS Ayrshire & Arran,2018,Male,25-34,27,141.05
NHS Borders,2018,Male,25-34,3,60.44
NHS Dumfries & Galloway,2018,Male,25-34,8,110.22
NHS Fife,2018,Male,25-34,16,76.9
NHS Forth Valley,2018,Male,25-34,10,57.44
NHS Grampian,2018,Male,25-34,6,13.72
NHS Greater Glasgow & Clyde,2018,Male,25-34,29,30.93
NHS Highland,2018,Male,25-34,4,23.37
NHS Lanarkshire,2018,Male,25-34,19,49.47
NHS Lothian,2018,Male,25-34,44,61.71
NHS Tayside,2018,Male,25-34,10,36.81
NHS Western Isles,2018,Male,25-34,2,160.64
Other,2018,Male,25-34,4,-
NHSScotland,2018,Male,25-34,182,49.88
NHS Ayrshire & Arran,2018,Male,35-44,14,73.36
NHS Dumfries & Galloway,2018,Male,35-44,2,28.82
NHS Fife,2018,Male,35-44,25,117.06
NHS Forth Valley,2018,Male,35-44,7,38.43
NHS Grampian,2018,Male,35-44,11,28.33
NHS Greater Glasgow & Clyde,2018,Male,35-44,27,37.75
NHS Highland,2018,Male,35-44,4,22.72
NHS Lanarkshire,2018,Male,35-44,29,71.55
NHS Lothian,2018,Male,35-44,35,58.93
NHS Tayside,2018,Male,35-44,9,40.14
NHS Western Isles,2018,Male,35-44,1,68.45
Other,2018,Male,35-44,1,-
NHSScotland,2018,Male,35-44,165,50.66
NHS Ayrshire & Arran,2018,Male,45-54,26,98.8
NHS Borders,2018,Male,45-54,3,34.08
NHS Dumfries & Galloway,2018,Male,45-54,9,83.6
NHS Fife,2018,Male,45-54,18,67.86
NHS Forth Valley,2018,Male,45-54,9,38.72
NHS Grampian,2018,Male,45-54,16,38.56
NHS Greater Glasgow & Clyde,2018,Male,45-54,52,66.01
NHS Highland,2018,Male,45-54,12,51.52
NHS Lanarkshire,2018,Male,45-54,41,83.46
NHS Lothian,2018,Male,45-54,50,82.58
NHS Orkney,2018,Male,45-54,14,832.84
NHS Tayside,2018,Male,45-54,5,17.57
Other,2018,Male,45-54,5,-
NHSScotland,2018,Male,45-54,260,67.91
NHS Ayrshire & Arran,2018,Male,55-64,15,58.71
NHS Borders,2018,Male,55-64,4,46.64
NHS Dumfries & Galloway,2018,Male,55-64,6,54.77
NHS Fife,2018,Male,55-64,92,380.01
NHS Forth Valley,2018,Male,55-64,4,20.6
NHS Grampian,2018,Male,55-64,11,29.75
NHS Greater Glasgow & Clyde,2018,Male,55-64,36,51.47
NHS Highland,2018,Male,55-64,17,72.83
NHS Lanarkshire,2018,Male,55-64,36,84.07
NHS Lothian,2018,Male,55-64,30,59.34
NHS Tayside,2018,Male,55-64,12,44.65
NHS Western Isles,2018,Male,55-64,3,145.21
Other,2018,Male,55-64,16,-
NHSScotland,2018,Male,55-64,282,81.85
NHS Ayrshire & Arran,2018,Male,65-74,28,126.92
NHS Borders,2018,Male,65-74,1,13.01
NHS Dumfries & Galloway,2018,Male,65-74,6,59.42
NHS Fife,2018,Male,65-74,11,54.25
NHS Forth Valley,2018,Male,65-74,4,25.56
NHS Grampian,2018,Male,65-74,10,35.03
NHS Greater Glasgow & Clyde,2018,Male,65-74,31,63.31
NHS Highland,2018,Male,65-74,11,54.46
NHS Lanarkshire,2018,Male,65-74,21,66.71
NHS Lothian,2018,Male,65-74,15,39.79
NHS Orkney,2018,Male,65-74,1,72.05
NHS Tayside,2018,Male,65-74,5,22.19
NHS Western Isles,2018,Male,65-74,2,110.56
Other,2018,Male,65-74,5,-
NHSScotland,2018,Male,65-74,151,55.98
NHS Ayrshire & Arran,2018,Male,65+,43,116.85
NHS Borders,2018,Male,65+,3,23.41
NHS Dumfries & Galloway,2018,Male,65+,7,40.23
NHS Fife,2018,Male,65+,18,53.36
NHS Forth Valley,2018,Male,65+,14,54.04
NHS Grampian,2018,Male,65+,23,48.38
NHS Greater Glasgow & Clyde,2018,Male,65+,58,70.19
NHS Highland,2018,Male,65+,20,59.9
NHS Lanarkshire,2018,Male,65+,43,83.23
NHS Lothian,2018,Male,65+,33,51.89
NHS Orkney,2018,Male,65+,2,83.37
NHS Tayside,2018,Male,65+,9,23.01
NHS Western Isles,2018,Male,65+,3,97.78
Other,2018,Male,65+,5,-
NHSScotland,2018,Male,65+,281,62.14
NHS Ayrshire & Arran,2018,Male,75-84,12,104.5
NHS Borders,2018,Male,75-84,1,25.35
NHS Dumfries & Galloway,2018,Male,75-84,1,17.58
NHS Fife,2018,Male,75-84,7,67.1
NHS Forth Valley,2018,Male,75-84,7,87.15
NHS Grampian,2018,Male,75-84,9,61.66
NHS Greater Glasgow & Clyde,2018,Male,75-84,17,65.84
NHS Highland,2018,Male,75-84,7,68.76
NHS Lanarkshire,2018,Male,75-84,18,112.67
NHS Lothian,2018,Male,75-84,15,76.39
NHS Tayside,2018,Male,75-84,4,32.14
NHSScotland,2018,Male,75-84,98,69.68
NHS Ayrshire & Arran,2018,Male,75+,15,101.78
NHS Borders,2018,Male,75+,2,39.02
NHS Dumfries & Galloway,2018,Male,75+,1,13.69
NHS Fife,2018,Male,75+,7,52.01
NHS Forth Valley,2018,Male,75+,10,97.48
NHS Grampian,2018,Male,75+,13,68.42
NHS Greater Glasgow & Clyde,2018,Male,75+,27,80.21
NHS Highland,2018,Male,75+,9,68.24
NHS Lanarkshire,2018,Male,75+,22,108.98
NHS Lothian,2018,Male,75+,18,69.51
NHS Orkney,2018,Male,75+,1,98.91
NHS Tayside,2018,Male,75+,4,24.11
NHS Western Isles,2018,Male,75+,1,79.43
NHSScotland,2018,Male,75+,130,71.23
NHS Ayrshire & Arran,2018,Male,85+,3,92.17
NHS Borders,2018,Male,85+,1,84.67
NHS Forth Valley,2018,Male,85+,3,134.77
NHS Grampian,2018,Male,85+,4,90.83
NHS Greater Glasgow & Clyde,2018,Male,85+,10,127.53
NHS Highland,2018,Male,85+,2,66.49
NHS Lanarkshire,2018,Male,85+,4,94.97
NHS Lothian,2018,Male,85+,3,47.92
NHS Orkney,2018,Male,85+,1,444.44
NHS Western Isles,2018,Male,85+,1,350.88
NHSScotland,2018,Male,85+,32,76.46
NHS Ayrshire & Arran,2018,Male,All ages,227,127.81
NHS Borders,2018,Male,All ages,28,50.19
NHS Dumfries & Galloway,2018,Male,All ages,76,104.94
NHS Fife,2018,Male,All ages,254,140.87
NHS Forth Valley,2018,Male,All ages,95,63.83
NHS Grampian,2018,Male,All ages,151,51.77
NHS Greater Glasgow & Clyde,2018,Male,All ages,387,68.37
NHS Highland,2018,Male,All ages,115,72.64
NHS Lanarkshire,2018,Male,All ages,355,111.54
NHS Lothian,2018,Male,All ages,371,85.78
NHS Orkney,2018,Male,All ages,19,173.6
NHS Shetland,2018,Male,All ages,4,34.1
NHS Tayside,2018,Male,All ages,147,72.57
NHS Western Isles,2018,Male,All ages,12,90.16
Other,2018,Male,All ages,48,-
NHSScotland,2018,Male,All ages,2289,86.69
NHS Ayrshire & Arran,2019,Both Sexes,00-14,151,261.44
NHS Borders,2019,Both Sexes,00-14,21,117.29
NHS Dumfries & Galloway,2019,Both Sexes,00-14,69,314.88
NHS Fife,2019,Both Sexes,00-14,106,174.68
NHS Forth Valley,2019,Both Sexes,00-14,45,90.96
NHS Grampian,2019,Both Sexes,00-14,67,71.01
NHS Greater Glasgow & Clyde,2019,Both Sexes,00-14,329,177.02
NHS Highland,2019,Both Sexes,00-14,72,146.8
NHS Lanarkshire,2019,Both Sexes,00-14,373,335.63
NHS Lothian,2019,Both Sexes,00-14,157,109.92
NHS Shetland,2019,Both Sexes,00-14,5,126.81
NHS Tayside,2019,Both Sexes,00-14,107,168.54
NHS Western Isles,2019,Both Sexes,00-14,11,272.21
Other,2019,Both Sexes,00-14,6,-
NHSScotland,2019,Both Sexes,00-14,1519,175.46
NHS Ayrshire & Arran,2019,Both Sexes,15-24,81,201.37
NHS Borders,2019,Both Sexes,15-24,5,43.94
NHS Dumfries & Galloway,2019,Both Sexes,15-24,5,33.66
NHS Fife,2019,Both Sexes,15-24,100,226.09
NHS Forth Valley,2019,Both Sexes,15-24,22,59.67
NHS Grampian,2019,Both Sexes,15-24,35,53.04
NHS Greater Glasgow & Clyde,2019,Both Sexes,15-24,151,103.41
