hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Lothian,2018,Both Sexes,65-74,63,78.91,S08000024
NHS Orkney,2018,Both Sexes,65-74,2,70.7,S08000025
NHS Shetland,2018,Both Sexes,65-74,1,38.51,S08000026
NHS Tayside,2018,Both Sexes,65-74,19,40.37,S08000030
NHS Western Isles,2018,Both Sexes,65-74,4,109.11,S08000028
Other,2018,Both Sexes,65-74,9,-,Other
NHS Scotland,2018,Both Sexes,65-74,517,91.57,NHS Scotland
NHS Ayrshire & Arran,2018,Both Sexes,65+,111,135.88,S08000015
NHS Borders,2018,Both Sexes,65+,9,32.49,S08000016
NHS Dumfries & Galloway,2018,Both Sexes,65+,26,69.5,S08000017
NHS Fife,2018,Both Sexes,65+,97,130.04,S08000029
NHS Forth Valley,2018,Both Sexes,65+,46,80.26,S08000019
NHS Grampian,2018,Both Sexes,65+,74,71.05,S08000020
NHS Greater Glasgow & Clyde,2018,Both Sexes,65+,219,114.11,S08000021
NHS Highland,2018,Both Sexes,65+,68,93.31,S08000022
NHS Lanarkshire,2018,Both Sexes,65+,164,139.56,S08000023
NHS Lothian,2018,Both Sexes,65+,139,96.64,S08000024
NHS Orkney,2018,Both Sexes,65+,4,78.85,S08000025
NHS Shetland,2018,Both Sexes,65+,3,66.93,S08000026
NHS Tayside,2018,Both Sexes,65+,39,44.69,S08000030
NHS Western Isles,2018,Both Sexes,65+,17,251.63,S08000028
Other,2018,Both Sexes,65+,12,-,Other
NHS Scotland,2018,Both Sexes,65+,1028,101.52,NHS Scotland
NHS Ayrshire & Arran,2018,Both Sexes,75-84,42,159.99,S08000015
NHS Borders,2018,Both Sexes,75-84,4,45.46,S08000016
NHS Dumfries & Galloway,2018,Both Sexes,75-84,9,73.05,S08000017
NHS Fife,2018,Both Sexes,75-84,20,85.1,S08000029
NHS Forth Valley,2018,Both Sexes,75-84,19,103.29,S08000019
NHS Grampian,2018,Both Sexes,75-84,22,66.65,S08000020
NHS Greater Glasgow & Clyde,2018,Both Sexes,75-84,81,127.83,S08000021
NHS Highland,2018,Both Sexes,75-84,25,108.82,S08000022
NHS Lanarkshire,2018,Both Sexes,75-84,60,157.51,S08000023
NHS Lothian,2018,Both Sexes,75-84,53,115.92,S08000024
NHS Orkney,2018,Both Sexes,75-84,1,59.59,S08000025
NHS Shetland,2018,Both Sexes,75-84,2,141.74,S08000026
NHS Tayside,2018,Both Sexes,75-84,15,52.78,S08000030
NHS Western Isles,2018,Both Sexes,75-84,10,450.86,S08000028
Other,2018,Both Sexes,75-84,3,-,Other
NHS Scotland,2018,Both Sexes,75-84,366,112.22,NHS Scotland
NHS Ayrshire & Arran,2018,Both Sexes,75+,57,160.54,S08000015
NHS Borders,2018,Both Sexes,75+,5,41.72,S08000016
NHS Dumfries & Galloway,2018,Both Sexes,75+,11,65.69,S08000017
NHS Fife,2018,Both Sexes,75+,29,90.37,S08000029
NHS Forth Valley,2018,Both Sexes,75+,27,109.28,S08000019
NHS Grampian,2018,Both Sexes,75+,40,87.75,S08000020
NHS Greater Glasgow & Clyde,2018,Both Sexes,75+,116,132.07,S08000021
NHS Highland,2018,Both Sexes,75+,33,104.94,S08000022
NHS Lanarkshire,2018,Both Sexes,75+,77,151.96,S08000023
NHS Lothian,2018,Both Sexes,75+,76,118.77,S08000024
NHS Orkney,2018,Both Sexes,75+,2,89.13,S08000025
NHS Shetland,2018,Both Sexes,75+,2,106.1,S08000026
NHS Tayside,2018,Both Sexes,75+,20,49.76,S08000030
NHS Western Isles,2018,Both Sexes,75+,13,420.71,S08000028
Other,2018,Both Sexes,75+,3,-,Other
NHS Scotland,2018,Both Sexes,75+,511,114.07,NHS Scotland
NHS Ayrshire & Arran,2018,Both Sexes,85+,15,162.09,S08000015
NHS Borders,2018,Both Sexes,85+,1,31.39,S08000016
NHS Dumfries & Galloway,2018,Both Sexes,85+,2,45.19,S08000017
NHS Fife,2018,Both Sexes,85+,9,104.81,S08000029
NHS Forth Valley,2018,Both Sexes,85+,8,126.72,S08000019
NHS Grampian,2018,Both Sexes,85+,18,143.13,S08000020
NHS Greater Glasgow & Clyde,2018,Both Sexes,85+,35,143.03,S08000021
NHS Highland,2018,Both Sexes,85+,8,94.42,S08000022
NHS Lanarkshire,2018,Both Sexes,85+,17,135.17,S08000023
NHS Lothian,2018,Both Sexes,85+,23,125.9,S08000024
NHS Orkney,2018,Both Sexes,85+,1,176.68,S08000025
NHS Tayside,2018,Both Sexes,85+,5,42.47,S08000030
NHS Western Isles,2018,Both Sexes,85+,3,344.04,S08000028
NHS Scotland,2018,Both Sexes,85+,145,119.03,NHS Scotland
NHS Ayrshire & Arran,2018,Both Sexes,All ages,659,177.91,S08000015
NHS Borders,2018,Both Sexes,All ages,85,73.9,S08000016
NHS Dumfries & Galloway,2018,Both Sexes,All ages,179,119.97,S08000017
NHS Fife,2018,Both Sexes,All ages,724,194.93,S08000029
NHS Forth Valley,2018,Both Sexes,All ages,280,91.63,S08000019
NHS Grampian,2018,Both Sexes,All ages,403,68.73,S08000020
NHS Greater Glasgow & Clyde,2018,Both Sexes,All ages,1305,111.62,S08000021
NHS Highland,2018,Both Sexes,All ages,344,106.84,S08000022
NHS Lanarkshire,2018,Both Sexes,All ages,992,150.73,S08000023
NHS Lothian,2018,Both Sexes,All ages,1016,114.23,S08000024
NHS Orkney,2018,Both Sexes,All ages,25,113.64,S08000025
NHS Shetland,2018,Both Sexes,All ages,11,47.66,S08000026
NHS Tayside,2018,Both Sexes,All ages,385,92.53,S08000030
NHS Western Isles,2018,Both Sexes,All ages,42,155.84,S08000028
Other,2018,Both Sexes,All ages,86,-,Other
NHS Scotland,2018,Both Sexes,All ages,6536,120.48,NHS Scotland
NHS Ayrshire & Arran,2018,Female,00-14,84,296.63,S08000015
NHS Borders,2018,Female,00-14,5,56.81,S08000016
NHS Dumfries & Galloway,2018,Female,00-14,27,249.77,S08000017
NHS Fife,2018,Female,00-14,32,108.34,S08000029
NHS Forth Valley,2018,Female,00-14,29,120.06,S08000019
NHS Grampian,2018,Female,00-14,28,61,S08000020
NHS Greater Glasgow & Clyde,2018,Female,00-14,109,120.87,S08000021
NHS Highland,2018,Female,00-14,35,145.29,S08000022
NHS Lanarkshire,2018,Female,00-14,111,204.64,S08000023
NHS Lothian,2018,Female,00-14,95,137.77,S08000024
NHS Shetland,2018,Female,00-14,2,105.26,S08000026
NHS Tayside,2018,Female,00-14,42,135.56,S08000030
NHS Western Isles,2018,Female,00-14,5,255.36,S08000028
Other,2018,Female,00-14,7,-,Other
NHS Scotland,2018,Female,00-14,611,144.98,NHS Scotland
NHS Ayrshire & Arran,2018,Female,15-24,53,264.83,S08000015
NHS Borders,2018,Female,15-24,9,158.09,S08000016
NHS Dumfries & Galloway,2018,Female,15-24,7,96.38,S08000017
NHS Fife,2018,Female,15-24,77,343.87,S08000029
NHS Forth Valley,2018,Female,15-24,18,98.25,S08000019
NHS Grampian,2018,Female,15-24,27,80.54,S08000020
NHS Greater Glasgow & Clyde,2018,Female,15-24,122,165.33,S08000021
NHS Highland,2018,Female,15-24,16,103.23,S08000022
NHS Lanarkshire,2018,Female,15-24,82,221.98,S08000023
NHS Lothian,2018,Female,15-24,84,146.68,S08000024
NHS Tayside,2018,Female,15-24,24,95.52,S08000030
Other,2018,Female,15-24,3,-,Other
NHS Scotland,2018,Female,15-24,522,163.51,NHS Scotland
NHS Ayrshire & Arran,2018,Female,25-34,61,295.76,S08000015
NHS Borders,2018,Female,25-34,6,110.99,S08000016
NHS Dumfries & Galloway,2018,Female,25-34,17,224.75,S08000017
NHS Fife,2018,Female,25-34,64,288.43,S08000029
NHS Forth Valley,2018,Female,25-34,31,165.9,S08000019
NHS Grampian,2018,Female,25-34,58,140.53,S08000020
NHS Greater Glasgow & Clyde,2018,Female,25-34,138,148.24,S08000021
NHS Highland,2018,Female,25-34,26,155.78,S08000022
NHS Lanarkshire,2018,Female,25-34,79,192.66,S08000023
NHS Lothian,2018,Female,25-34,86,114.42,S08000024
NHS Tayside,2018,Female,25-34,33,122.14,S08000030
Other,2018,Female,25-34,5,-,Other
NHS Scotland,2018,Female,25-34,604,162.16,NHS Scotland
NHS Ayrshire & Arran,2018,Female,35-44,54,250.91,S08000015
NHS Borders,2018,Female,35-44,10,158.83,S08000016
NHS Dumfries & Galloway,2018,Female,35-44,12,154.08,S08000017
NHS Fife,2018,Female,35-44,51,227.32,S08000029
NHS Forth Valley,2018,Female,35-44,33,168.99,S08000019
NHS Grampian,2018,Female,35-44,29,77.12,S08000020
NHS Greater Glasgow & Clyde,2018,Female,35-44,103,139.74,S08000021
NHS Highland,2018,Female,35-44,30,162.44,S08000022
NHS Lanarkshire,2018,Female,35-44,78,181.96,S08000023
NHS Lothian,2018,Female,35-44,75,124.73,S08000024
NHS Orkney,2018,Female,35-44,1,79.43,S08000025
NHS Tayside,2018,Female,35-44,31,130.19,S08000030
NHS Western Isles,2018,Female,35-44,6,379.51,S08000028
NHS Scotland,2018,Female,35-44,513,151.6,NHS Scotland
NHS Ayrshire & Arran,2018,Female,45-54,56,187.81,S08000015
NHS Borders,2018,Female,45-54,16,170.94,S08000016
NHS Dumfries & Galloway,2018,Female,45-54,8,68.38,S08000017
NHS Fife,2018,Female,45-54,64,226.41,S08000029
NHS Forth Valley,2018,Female,45-54,22,90.59,S08000019
NHS Grampian,2018,Female,45-54,33,77.41,S08000020
NHS Greater Glasgow & Clyde,2018,Female,45-54,163,186.91,S08000021
NHS Highland,2018,Female,45-54,43,169.92,S08000022
NHS Lanarkshire,2018,Female,45-54,81,153.41,S08000023
NHS Lothian,2018,Female,45-54,116,185.71,S08000024
NHS Orkney,2018,Female,45-54,2,117.37,S08000025
NHS Shetland,2018,Female,45-54,2,117.92,S08000026
NHS Tayside,2018,Female,45-54,47,156.53,S08000030
NHS Western Isles,2018,Female,45-54,1,49.55,S08000028
Other,2018,Female,45-54,9,-,Other
NHS Scotland,2018,Female,45-54,663,161.99,NHS Scotland
NHS Ayrshire & Arran,2018,Female,55-64,56,202.78,S08000015
NHS Borders,2018,Female,55-64,5,56.88,S08000016
NHS Dumfries & Galloway,2018,Female,55-64,13,111.65,S08000017
NHS Fife,2018,Female,55-64,103,405.16,S08000029
NHS Forth Valley,2018,Female,55-64,20,98.22,S08000019
NHS Grampian,2018,Female,55-64,26,69.91,S08000020
NHS Greater Glasgow & Clyde,2018,Female,55-64,122,160.93,S08000021
NHS Highland,2018,Female,55-64,31,128.41,S08000022
NHS Lanarkshire,2018,Female,55-64,85,184.15,S08000023
NHS Lothian,2018,Female,55-64,83,157.43,S08000024
NHS Orkney,2018,Female,55-64,1,63.41,S08000025
NHS Tayside,2018,Female,55-64,31,109.11,S08000030
NHS Western Isles,2018,Female,55-64,4,203.98,S08000028
Other,2018,Female,55-64,6,-,Other
NHS Scotland,2018,Female,55-64,586,161.28,NHS Scotland
NHS Ayrshire & Arran,2018,Female,65-74,26,107.79,S08000015
NHS Borders,2018,Female,65-74,3,37.38,S08000016
NHS Dumfries & Galloway,2018,Female,65-74,9,85.19,S08000017
NHS Fife,2018,Female,65-74,57,256.44,S08000029
NHS Forth Valley,2018,Female,65-74,15,88.44,S08000019
NHS Grampian,2018,Female,65-74,24,79.94,S08000020
NHS Greater Glasgow & Clyde,2018,Female,65-74,72,130.62,S08000021
NHS Highland,2018,Female,65-74,24,113.05,S08000022
NHS Lanarkshire,2018,Female,65-74,66,186.64,S08000023
NHS Lothian,2018,Female,65-74,48,113.9,S08000024
NHS Orkney,2018,Female,65-74,1,69.4,S08000025
NHS Shetland,2018,Female,65-74,1,79.55,S08000026
NHS Tayside,2018,Female,65-74,14,57.05,S08000030
NHS Western Isles,2018,Female,65-74,2,107.7,S08000028
Other,2018,Female,65-74,4,-,Other
NHS Scotland,2018,Female,65-74,366,124.12,NHS Scotland
NHS Ayrshire & Arran,2018,Female,65+,68,151.49,S08000015
NHS Borders,2018,Female,65+,6,40.31,S08000016
NHS Dumfries & Galloway,2018,Female,65+,19,94.97,S08000017
NHS Fife,2018,Female,65+,79,193.36,S08000029
NHS Forth Valley,2018,Female,65+,32,101.88,S08000019
NHS Grampian,2018,Female,65+,51,90.09,S08000020
NHS Greater Glasgow & Clyde,2018,Female,65+,161,147.31,S08000021
NHS Highland,2018,Female,65+,48,121.56,S08000022
NHS Lanarkshire,2018,Female,65+,121,183.76,S08000023
NHS Lothian,2018,Female,65+,106,132.11,S08000024
NHS Orkney,2018,Female,65+,2,74.79,S08000025
NHS Shetland,2018,Female,65+,3,128.92,S08000026
NHS Tayside,2018,Female,65+,30,62.31,S08000030
NHS Western Isles,2018,Female,65+,14,379.61,S08000028
Other,2018,Female,65+,7,-,Other
NHS Scotland,2018,Female,65+,747,133.31,NHS Scotland
NHS Ayrshire & Arran,2018,Female,75-84,30,203.14,S08000015
NHS Borders,2018,Female,75-84,3,61.82,S08000016
NHS Dumfries & Galloway,2018,Female,75-84,8,120.61,S08000017
NHS Fife,2018,Female,75-84,13,99.46,S08000029
NHS Forth Valley,2018,Female,75-84,12,115.81,S08000019
NHS Grampian,2018,Female,75-84,13,70.6,S08000020
NHS Greater Glasgow & Clyde,2018,Female,75-84,64,170.48,S08000021
NHS Highland,2018,Female,75-84,18,140.69,S08000022
NHS Lanarkshire,2018,Female,75-84,42,189.9,S08000023
NHS Lothian,2018,Female,75-84,38,145.67,S08000024
NHS Orkney,2018,Female,75-84,1,112.11,S08000025
NHS Shetland,2018,Female,75-84,2,262.81,S08000026
NHS Tayside,2018,Female,75-84,11,68.86,S08000030
NHS Western Isles,2018,Female,75-84,10,803.86,S08000028
Other,2018,Female,75-84,3,-,Other
NHS Scotland,2018,Female,75-84,268,144.47,NHS Scotland
NHS Ayrshire & Arran,2018,Female,75+,42,202.24,S08000015
NHS Borders,2018,Female,75+,3,43.74,S08000016
NHS Dumfries & Galloway,2018,Female,75+,10,105.91,S08000017
NHS Fife,2018,Female,75+,22,118.09,S08000029
NHS Forth Valley,2018,Female,75+,17,117.66,S08000019
NHS Grampian,2018,Female,75+,27,101.56,S08000020
NHS Greater Glasgow & Clyde,2018,Female,75+,89,164.3,S08000021
NHS Highland,2018,Female,75+,24,131.44,S08000022
NHS Lanarkshire,2018,Female,75+,55,180.43,S08000023
NHS Lothian,2018,Female,75+,58,152.26,S08000024
NHS Orkney,2018,Female,75+,1,81.1,S08000025
NHS Shetland,2018,Female,75+,2,186.92,S08000026
NHS Tayside,2018,Female,75+,16,67.78,S08000030
NHS Western Isles,2018,Female,75+,12,655.38,S08000028
Other,2018,Female,75+,3,-,Other
NHS Scotland,2018,Female,75+,381,143.52,NHS Scotland
NHS Ayrshire & Arran,2018,Female,85+,12,200.03,S08000015
NHS Dumfries & Galloway,2018,Female,85+,2,71.2,S08000017
NHS Fife,2018,Female,85+,9,161.87,S08000029
NHS Forth Valley,2018,Female,85+,5,122.34,S08000019
NHS Grampian,2018,Female,85+,14,171.32,S08000020
NHS Greater Glasgow & Clyde,2018,Female,85+,25,150.34,S08000021
NHS Highland,2018,Female,85+,6,109.79,S08000022
NHS Lanarkshire,2018,Female,85+,13,155.41,S08000023
NHS Lothian,2018,Female,85+,20,166.57,S08000024
NHS Tayside,2018,Female,85+,5,65.52,S08000030
NHS Western Isles,2018,Female,85+,2,340.72,S08000028
NHS Scotland,2018,Female,85+,113,141.31,NHS Scotland
NHS Ayrshire & Arran,2018,Female,All ages,432,224.07,S08000015
NHS Borders,2018,Female,All ages,57,96.23,S08000016
NHS Dumfries & Galloway,2018,Female,All ages,103,134.16,S08000017
NHS Fife,2018,Female,All ages,470,245.95,S08000029
NHS Forth Valley,2018,Female,All ages,185,118.03,S08000019
NHS Grampian,2018,Female,All ages,252,85.5,S08000020
NHS Greater Glasgow & Clyde,2018,Female,All ages,918,152.22,S08000021
NHS Highland,2018,Female,All ages,229,139.9,S08000022
NHS Lanarkshire,2018,Female,All ages,637,187.43,S08000023
NHS Lothian,2018,Female,All ages,645,141.16,S08000024
NHS Orkney,2018,Female,All ages,6,54.27,S08000025
NHS Shetland,2018,Female,All ages,7,61.68,S08000026
NHS Tayside,2018,Female,All ages,238,111.46,S08000030
NHS Western Isles,2018,Female,All ages,30,219.94,S08000028
Other,2018,Female,All ages,37,-,Other
NHS Scotland,2018,Female,All ages,4246,152.49,NHS Scotland
NHS Ayrshire & Arran,2018,Male,00-14,81,272.9,S08000015
NHS Borders,2018,Male,00-14,14,154.85,S08000016
NHS Dumfries & Galloway,2018,Male,00-14,43,382.36,S08000017
NHS Fife,2018,Male,00-14,68,218.31,S08000029
NHS Forth Valley,2018,Male,00-14,45,176.62,S08000019
NHS Grampian,2018,Male,00-14,60,124.24,S08000020
NHS Greater Glasgow & Clyde,2018,Male,00-14,145,153.32,S08000021
NHS Highland,2018,Male,00-14,48,189.91,S08000022
NHS Lanarkshire,2018,Male,00-14,163,286.78,S08000023
NHS Lothian,2018,Male,00-14,130,179.22,S08000024
NHS Orkney,2018,Male,00-14,2,116.75,S08000025
NHS Shetland,2018,Male,00-14,4,191.75,S08000026
NHS Tayside,2018,Male,00-14,86,263.32,S08000030
NHS Western Isles,2018,Male,00-14,3,139.47,S08000028
Other,2018,Male,00-14,12,-,Other
NHS Scotland,2018,Male,00-14,904,204.19,NHS Scotland
NHS Ayrshire & Arran,2018,Male,15-24,21,99.82,S08000015
NHS Borders,2018,Male,15-24,1,17.09,S08000016
NHS Dumfries & Galloway,2018,Male,15-24,1,12.72,S08000017
NHS Fife,2018,Male,15-24,17,75.45,S08000029
NHS Forth Valley,2018,Male,15-24,6,31.3,S08000019
NHS Grampian,2018,Male,15-24,24,68.97,S08000020
NHS Greater Glasgow & Clyde,2018,Male,15-24,40,53.45,S08000021
NHS Highland,2018,Male,15-24,10,54.69,S08000022
NHS Lanarkshire,2018,Male,15-24,24,61.72,S08000023
NHS Lothian,2018,Male,15-24,49,89.79,S08000024
NHS Orkney,2018,Male,15-24,1,85.4,S08000025
NHS Tayside,2018,Male,15-24,16,61.88,S08000030
Other,2018,Male,15-24,5,-,Other
NHS Scotland,2018,Male,15-24,215,65.67,NHS Scotland
NHS Ayrshire & Arran,2018,Male,25-34,27,141.05,S08000015
NHS Borders,2018,Male,25-34,3,60.44,S08000016
NHS Dumfries & Galloway,2018,Male,25-34,8,110.22,S08000017
NHS Fife,2018,Male,25-34,16,76.9,S08000029
NHS Forth Valley,2018,Male,25-34,10,57.44,S08000019
NHS Grampian,2018,Male,25-34,6,13.72,S08000020
NHS Greater Glasgow & Clyde,2018,Male,25-34,29,30.93,S08000021
NHS Highland,2018,Male,25-34,4,23.37,S08000022
NHS Lanarkshire,2018,Male,25-34,19,49.47,S08000023
NHS Lothian,2018,Male,25-34,44,61.71,S08000024
NHS Tayside,2018,Male,25-34,10,36.81,S08000030
NHS Western Isles,2018,Male,25-34,2,160.64,S08000028
Other,2018,Male,25-34,4,-,Other
NHS Scotland,2018,Male,25-34,182,49.88,NHS Scotland
NHS Ayrshire & Arran,2018,Male,35-44,14,73.36,S08000015
NHS Dumfries & Galloway,2018,Male,35-44,2,28.82,S08000017
NHS Fife,2018,Male,35-44,25,117.06,S08000029
NHS Forth Valley,2018,Male,35-44,7,38.43,S08000019
NHS Grampian,2018,Male,35-44,11,28.33,S08000020
NHS Greater Glasgow & Clyde,2018,Male,35-44,27,37.75,S08000021
NHS Highland,2018,Male,35-44,4,22.72,S08000022
NHS Lanarkshire,2018,Male,35-44,29,71.55,S08000023
NHS Lothian,2018,Male,35-44,35,58.93,S08000024
NHS Tayside,2018,Male,35-44,9,40.14,S08000030
NHS Western Isles,2018,Male,35-44,1,68.45,S08000028
Other,2018,Male,35-44,1,-,Other
NHS Scotland,2018,Male,35-44,165,50.66,NHS Scotland
NHS Ayrshire & Arran,2018,Male,45-54,26,98.8,S08000015
NHS Borders,2018,Male,45-54,3,34.08,S08000016
NHS Dumfries & Galloway,2018,Male,45-54,9,83.6,S08000017
NHS Fife,2018,Male,45-54,18,67.86,S08000029
NHS Forth Valley,2018,Male,45-54,9,38.72,S08000019
NHS Grampian,2018,Male,45-54,16,38.56,S08000020
NHS Greater Glasgow & Clyde,2018,Male,45-54,52,66.01,S08000021
NHS Highland,2018,Male,45-54,12,51.52,S08000022
NHS Lanarkshire,2018,Male,45-54,41,83.46,S08000023
NHS Lothian,2018,Male,45-54,50,82.58,S08000024
NHS Orkney,2018,Male,45-54,14,832.84,S08000025
NHS Tayside,2018,Male,45-54,5,17.57,S08000030
Other,2018,Male,45-54,5,-,Other
NHS Scotland,2018,Male,45-54,260,67.91,NHS Scotland
NHS Ayrshire & Arran,2018,Male,55-64,15,58.71,S08000015
NHS Borders,2018,Male,55-64,4,46.64,S08000016
NHS Dumfries & Galloway,2018,Male,55-64,6,54.77,S08000017
NHS Fife,2018,Male,55-64,92,380.01,S08000029
NHS Forth Valley,2018,Male,55-64,4,20.6,S08000019
NHS Grampian,2018,Male,55-64,11,29.75,S08000020
NHS Greater Glasgow & Clyde,2018,Male,55-64,36,51.47,S08000021
NHS Highland,2018,Male,55-64,17,72.83,S08000022
NHS Lanarkshire,2018,Male,55-64,36,84.07,S08000023
NHS Lothian,2018,Male,55-64,30,59.34,S08000024
NHS Tayside,2018,Male,55-64,12,44.65,S08000030
NHS Western Isles,2018,Male,55-64,3,145.21,S08000028
Other,2018,Male,55-64,16,-,Other
NHS Scotland,2018,Male,55-64,282,81.85,NHS Scotland
NHS Ayrshire & Arran,2018,Male,65-74,28,126.92,S08000015
NHS Borders,2018,Male,65-74,1,13.01,S08000016
NHS Dumfries & Galloway,2018,Male,65-74,6,59.42,S08000017
NHS Fife,2018,Male,65-74,11,54.25,S08000029
NHS Forth Valley,2018,Male,65-74,4,25.56,S08000019
NHS Grampian,2018,Male,65-74,10,35.03,S08000020
NHS Greater Glasgow & Clyde,2018,Male,65-74,31,63.31,S08000021
NHS Highland,2018,Male,65-74,11,54.46,S08000022
NHS Lanarkshire,2018,Male,65-74,21,66.71,S08000023
NHS Lothian,2018,Male,65-74,15,39.79,S08000024
NHS Orkney,2018,Male,65-74,1,72.05,S08000025
NHS Tayside,2018,Male,65-74,5,22.19,S08000030
NHS Western Isles,2018,Male,65-74,2,110.56,S08000028
Other,2018,Male,65-74,5,-,Other
NHS Scotland,2018,Male,65-74,151,55.98,NHS Scotland
NHS Ayrshire & Arran,2018,Male,65+,43,116.85,S08000015
NHS Borders,2018,Male,65+,3,23.41,S08000016
NHS Dumfries & Galloway,2018,Male,65+,7,40.23,S08000017
NHS Fife,2018,Male,65+,18,53.36,S08000029
NHS Forth Valley,2018,Male,65+,14,54.04,S08000019
NHS Grampian,2018,Male,65+,23,48.38,S08000020
NHS Greater Glasgow & Clyde,2018,Male,65+,58,70.19,S08000021
NHS Highland,2018,Male,65+,20,59.9,S08000022
NHS Lanarkshire,2018,Male,65+,43,83.23,S08000023
NHS Lothian,2018,Male,65+,33,51.89,S08000024
NHS Orkney,2018,Male,65+,2,83.37,S08000025
NHS Tayside,2018,Male,65+,9,23.01,S08000030
NHS Western Isles,2018,Male,65+,3,97.78,S08000028
Other,2018,Male,65+,5,-,Other
NHS Scotland,2018,Male,65+,281,62.14,NHS Scotland
NHS Ayrshire & Arran,2018,Male,75-84,12,104.5,S08000015
NHS Borders,2018,Male,75-84,1,25.35,S08000016
NHS Dumfries & Galloway,2018,Male,75-84,1,17.58,S08000017
NHS Fife,2018,Male,75-84,7,67.1,S08000029
NHS Forth Valley,2018,Male,75-84,7,87.15,S08000019
NHS Grampian,2018,Male,75-84,9,61.66,S08000020
NHS Greater Glasgow & Clyde,2018,Male,75-84,17,65.84,S08000021
NHS Highland,2018,Male,75-84,7,68.76,S08000022
NHS Lanarkshire,2018,Male,75-84,18,112.67,S08000023
NHS Lothian,2018,Male,75-84,15,76.39,S08000024
NHS Tayside,2018,Male,75-84,4,32.14,S08000030
NHS Scotland,2018,Male,75-84,98,69.68,NHS Scotland
NHS Ayrshire & Arran,2018,Male,75+,15,101.78,S08000015
NHS Borders,2018,Male,75+,2,39.02,S08000016
NHS Dumfries & Galloway,2018,Male,75+,1,13.69,S08000017
NHS Fife,2018,Male,75+,7,52.01,S08000029
NHS Forth Valley,2018,Male,75+,10,97.48,S08000019
NHS Grampian,2018,Male,75+,13,68.42,S08000020
NHS Greater Glasgow & Clyde,2018,Male,75+,27,80.21,S08000021
NHS Highland,2018,Male,75+,9,68.24,S08000022
NHS Lanarkshire,2018,Male,75+,22,108.98,S08000023
NHS Lothian,2018,Male,75+,18,69.51,S08000024
NHS Orkney,2018,Male,75+,1,98.91,S08000025
NHS Tayside,2018,Male,75+,4,24.11,S08000030
NHS Western Isles,2018,Male,75+,1,79.43,S08000028
NHS Scotland,2018,Male,75+,130,71.23,NHS Scotland
NHS Ayrshire & Arran,2018,Male,85+,3,92.17,S08000015
NHS Borders,2018,Male,85+,1,84.67,S08000016
NHS Forth Valley,2018,Male,85+,3,134.77,S08000019
NHS Grampian,2018,Male,85+,4,90.83,S08000020
NHS Greater Glasgow & Clyde,2018,Male,85+,10,127.53,S08000021
NHS Highland,2018,Male,85+,2,66.49,S08000022
NHS Lanarkshire,2018,Male,85+,4,94.97,S08000023
NHS Lothian,2018,Male,85+,3,47.92,S08000024
NHS Orkney,2018,Male,85+,1,444.44,S08000025
NHS Western Isles,2018,Male,85+,1,350.88,S08000028
NHS Scotland,2018,Male,85+,32,76.46,NHS Scotland
NHS Ayrshire & Arran,2018,Male,All ages,227,127.81,S08000015
NHS Borders,2018,Male,All ages,28,50.19,S08000016
NHS Dumfries & Galloway,2018,Male,All ages,76,104.94,S08000017
NHS Fife,2018,Male,All ages,254,140.87,S08000029
NHS Forth Valley,2018,Male,All ages,95,63.83,S08000019
NHS Grampian,2018,Male,All ages,151,51.77,S08000020
NHS Greater Glasgow & Clyde,2018,Male,All ages,387,68.37,S08000021
NHS Highland,2018,Male,All ages,115,72.64,S08000022
NHS Lanarkshire,2018,Male,All ages,355,111.54,S08000023
NHS Lothian,2018,Male,All ages,371,85.78,S08000024
NHS Orkney,2018,Male,All ages,19,173.6,S08000025
NHS Shetland,2018,Male,All ages,4,34.1,S08000026
NHS Tayside,2018,Male,All ages,147,72.57,S08000030
NHS Western Isles,2018,Male,All ages,12,90.16,S08000028
Other,2018,Male,All ages,48,-,Other
NHS Scotland,2018,Male,All ages,2289,86.69,NHS Scotland
NHS Ayrshire & Arran,2019,Both Sexes,00-14,151,261.44,S08000015
NHS Borders,2019,Both Sexes,00-14,21,117.29,S08000016
NHS Dumfries & Galloway,2019,Both Sexes,00-14,69,314.88,S08000017
NHS Fife,2019,Both Sexes,00-14,106,174.68,S08000029
NHS Forth Valley,2019,Both Sexes,00-14,45,90.96,S08000019
NHS Grampian,2019,Both Sexes,00-14,67,71.01,S08000020
NHS Greater Glasgow & Clyde,2019,Both Sexes,00-14,329,177.02,S08000021
NHS Highland,2019,Both Sexes,00-14,72,146.8,S08000022
NHS Lanarkshire,2019,Both Sexes,00-14,373,335.63,S08000023
NHS Lothian,2019,Both Sexes,00-14,157,109.92,S08000024
NHS Shetland,2019,Both Sexes,00-14,5,126.81,S08000026
NHS Tayside,2019,Both Sexes,00-14,107,168.54,S08000030
NHS Western Isles,2019,Both Sexes,00-14,11,272.21,S08000028
Other,2019,Both Sexes,00-14,6,-,Other
NHS Scotland,2019,Both Sexes,00-14,1519,175.46,NHS Scotland
NHS Ayrshire & Arran,2019,Both Sexes,15-24,81,201.37,S08000015
NHS Borders,2019,Both Sexes,15-24,5,43.94,S08000016
NHS Dumfries & Galloway,2019,Both Sexes,15-24,5,33.66,S08000017
NHS Fife,2019,Both Sexes,15-24,100,226.09,S08000029
